video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=OwX_P6PWfyA&pp=ygUIYmF5IGFyZWE%3D,/@OneSportsPHL,One Sports,"Ginebra vs. Bay Area Finals G5 highlights | Honda S47 PBA Commissioner's Cup 2022 - Jan. 8, 2023",1M,1 year,"Fool me once, shame on you; Fool me twic... No collapse this time at nakuha na ulit ng Ginebra ang lamang sa PBA ...",2024-01-28 01:18:10.076081
/watch?v=r1Y2-0UZmPM&pp=ygUIYmF5IGFyZWE%3D,/@KQEDFood,KQED Food,"Queen’s Louisiana Po-Boy Cafe, La Casa Mia, Yak and Yeti | Check, Please! Bay Area",5.3K,2 weeks,"On a new Check, Please! Bay Area: Laissez les bons temps rouler! Located on San Francisco's Fisherman's Wharf, Queen's ...",2024-01-28 01:18:10.083584
/watch?v=XOeuOFcOaIY&pp=ygUIYmF5IGFyZWE%3D,/@Buggs,Bay Area Buggs,Boat Boy's Boatmobile in OCRP!,599K,5 months,"Join @CivRyan and myself in OCRP as Chuck & George hit the streets with Chuck's new invention the ""Boatmobile""! ▻Merch▻ ...",2024-01-28 01:18:10.087207
/watch?v=zEDXbT1SbdE&pp=ygUIYmF5IGFyZWE%3D,/@cbssf,KPIX | CBS NEWS BAY AREA,CBS News Bay Area morning team answers challenge of sister station in Detroit for 49ers-Lions bet,5.4K,1 day,The morning teams from CBS News Detroit and CBS News Bay Area engage in some friendly smack talk and a wager on the NFC ...,2024-01-28 01:18:10.090583
/watch?v=tWpK0d2-hHk&pp=ygUIYmF5IGFyZWE%3D,/@cbssf,KPIX | CBS NEWS BAY AREA,First Alert Weather Tuesday evening forecast for San Francisco Bay Area 1-23-24,7.9K,3 days,"Another round of rain developing Tuesday night into Wednesday morning, making for a wet commute.",2024-01-28 01:18:10.093764
/watch?v=pxDYf2ZHuq0&pp=ygUIYmF5IGFyZWE%3D,/@NBCBayArea,NBC Bay Area,"Not for tourists? Keith Lee, JPMorgan Chase CEO’s Bay Area comments bring strong reactions",221K,2 weeks,"Keith Lee, a major TikTok food influencer and Jamie Dimon, president of JP Morgan Chase have both offered up some very grim ...",2024-01-28 01:18:10.096859
/watch?v=QH0ADxaYR5I&pp=ygUIYmF5IGFyZWE%3D,/@ElevateYourselfOfficial,Elevate Yourself,SEMIFINALS : Bay Area Dimes vs Barbz | Elevate Spring Invitational 2023,3K,1 day,#Volleyball #ElevateYourself #CoachDonny #volleyballtournament #volleyballgame.,2024-01-28 01:18:10.099917
/watch?v=ixhvqbwJJrA&pp=ygUIYmF5IGFyZWE%3D,/@WhatsTrending,What's Trending,Keith Lee Cuts Time in Bay Area Short Over Safety Concerns,1.1K,2 weeks,#keithlee #tiktoker #creators.,2024-01-28 01:18:10.102955
/watch?v=ffGaZhgVHuk&pp=ygUIYmF5IGFyZWE%3D,/@Buggs,Bay Area Buggs,Chuck in The Trunk in OCRP!,323K,3 weeks,Join @CivRyan & myself in OCRP as we attempt to hide in the trunk of police cars! Again! ▻Merch▻ https://buggsmerch.com ...,2024-01-28 01:18:18.083960
/watch?v=2GZbaXdK8Js&pp=ygUIYmF5IGFyZWE%3D,/@WarnerRecords,Warner Records,E-40 - Tell Me When To Go (Official Music Video) | Warner Records,23M,14 years,Tell Me When To Go by E-40 from the album My Ghetto Report Card © 2006 Subscribe & Turn on notifications to stay updated ...,2024-01-28 01:18:18.088024
/watch?v=cTtnPimP0Ew&pp=ygUIYmF5IGFyZWE%3D,/@OneSportsPHL,One Sports,Ginebra-Bay Area Game 3 finish | Honda S47 PBA Commissioner's Cup 2022,362K,1 year,NSD. Enough said. #PBAGameTayoDito #PBAonOneSports Subscribe to One Sports channel! http://bit.ly/OneSportsPHL Website: ...,2024-01-28 01:18:18.090089
/shorts/02H9ntA082Q,/channel/UC-rhyXt1d3SbwuNLJ93eNPg,P-Lo,EVERYTHING is from the Bay Area #Shorts,10K,1 year,https://empire.lnk.to/SHINE Subscribe on YouTube: http://bit.ly/PLoYouTube Watch P-Lo's Official Music Videos: ...,2024-01-28 01:18:18.091503
/watch?v=trWaFodcPYU&pp=ygUIYmF5IGFyZWE%3D,/@feedmeimei,feed meimei,BAY AREA TAIWANESE FOOD TOUR with TURNING RED's Rosalie Chiang!,299K,1 year,Today we are going on a BAY AREA TAIWANESE FOOD TOUR with TURNING RED's Rosalie Chiang! We visit some of the best ...,2024-01-28 01:18:18.093037
/watch?v=1RtPhQNBsnU&pp=ygUIYmF5IGFyZWE%3D,/@cbssf,KPIX | CBS NEWS BAY AREA,"Team Coverage: Latest Bay Area storm brings dangerous waves, flooding to coast",27K,4 weeks,"Evacuation orders have been issued for parts of the coast, as the latest storm to strike the Bay Area brings dangerous waves and ...",2024-01-28 01:18:18.095647
/watch?v=SonC_dy7pBc&pp=ygUIYmF5IGFyZWE%3D,/@OneSportsPHL,One Sports,"Brgy. Ginebra vs. Bay Area highlights | Honda S47 PBA Commissioner's Cup 2022 - Oct. 9, 2022",1.6M,1 year,Na-Justin Brownlee ang Bay Area! Ginebra hands the Dragons their first loss in 14 games so far here in the Philippines!,2024-01-28 01:18:18.097075
/watch?v=TII4D1mw5ZY&pp=ygUIYmF5IGFyZWE%3D,/@cbssf,KPIX | CBS NEWS BAY AREA,Bay Area startup gets federal approval to test flying car,184K,5 months,"The long-held dream of soaring above traffic jams in a flying car might just come true sooner than you think, if one Bay Area ...",2024-01-28 01:18:18.098341
/watch?v=G93n5PhriDs&pp=ygUIYmF5IGFyZWE%3D,/channel/UC2FCUwThC0RAzaQoI0TtpLA,Official Saweetie,Saweetie & P-Lo - DO IT FOR THE BAY (Official Music Video),254K,8 days,"❄️ICY GANG❄️ Tap in with Saweetie to gain exclusive access to music, merch, and more! Text +1 (510) 250-3890 Follow ...",2024-01-28 01:18:18.099667
/watch?v=2itA1IEqxSo&pp=ygUIYmF5IGFyZWE%3D,/@smartsports9015,Smart Sports,GINEBRA def BAY AREA Finals Game 7 | 47th Season Honda PBA Commissioner's Cup 2022,730K,1 year,GINEBRA finished off BAY AREA with a strong first half to secure the Commissioner's Cup championship with a record-breaking ...,2024-01-28 01:18:18.102173
/watch?v=w0QvSqKdpYQ&pp=ygUIYmF5IGFyZWE%3D,/@AmplifiedMusicDocs,Amplified - Classic Rock & Music History,Murder In The Front Row: The San Francisco Bay Area Thrash Metal Story | Amplified,640K,10 months,"In the early 1980s, a small group of dedicated Bay Area headbangers shunned the hard rock of MTV and Hollywood hairspray ...",2024-01-28 01:18:18.105466
/watch?v=WhKsLzRjvtw&pp=ygUIYmF5IGFyZWE%3D,/@abc7news,ABC7 News Bay Area,TikTok food critic Keith Lee slams Bay Area over safety concerns,20K,2 weeks,TikTok food critic Keith Lee's highly anticipated visit to the Bay Area was cut short as the social media star released a video saying ...,2024-01-28 01:18:18.107806
/watch?v=CVXzfUlr7w8&pp=ygUIYmF5IGFyZWE%3D,/@HungryPassport,Hungry Passport,TOP 10 Things to do in SAN FRANCISCO  [Travel Guide],474K,2 years,CHAPTERS: 0:00 Intro 0:27 #10 Golden Gate Bridge 1:11 #9 Fisherman's Wharf 2:08 #8 Palace of Fine Arts Theatre 2:52 #7 ...,2024-01-28 01:18:18.109704
/watch?v=t1VKU6j-1Bk&pp=ygUIYmF5IGFyZWE%3D,/@NBCBayArea,NBC Bay Area,A closer look at Bay Area rental numbers,32K,1 month,"The latest Bay Area rental numbers are out and the prices are all over the place, depending on where you want to be and where ...",2024-01-28 01:18:18.111633
/watch?v=KJvgVAOFpWg&pp=ygUIYmF5IGFyZWE%3D,/@YellowProductions,Yellow Productions,San Francisco Bay Area Travel Planning Guide,30K,Streamed 1 year,Everything you need to know to plan a trip to the San Francisco Bay Area in California. In this detailed guide I'll be providing tips ...,2024-01-28 01:18:18.112984
/watch?v=O35YDDtqOjg&pp=ygUIYmF5IGFyZWE%3D,/@NBCBayArea,NBC Bay Area,South Bay businesses brace for huge crowds ahead of 49ers-Lions NFC Championship game,9.4K,1 day,Expect to see a few Lions fans wandering around Faithful territory this weekend. Damian Trujillo reports. #NFL #49ers #nflplayoffs ...,2024-01-28 01:18:18.114273
/watch?v=axD7tXWEioo&pp=ygUIYmF5IGFyZWE%3D,/@feedmeimei,feed meimei,"What I Eat in a Weekend in the BAY AREA! (hotpot, sushi, egg tarts, dumplings, korean fried chicken)",459K,1 year,What I Eat in a Week in the Bay Area (SF & South Bay)! My friend Michel was visiting for the weekend so we ate all around San ...,2024-01-28 01:18:18.115614
/watch?v=GIC4YzM6oho&pp=ygUIYmF5IGFyZWE%3D,/@KumaarFamily,Kumaar Family,We found the Best Chai in San Francisco Bay Area,11K,2 weeks,"We absolutely love chai, so we set out on an adventure to find the best of the best! Thanks for watching! We are Logesh, Rachel, ...",2024-01-28 01:18:18.117530
/watch?v=U-uadpyaPU8&pp=ygUIYmF5IGFyZWE%3D,/channel/UC-rhyXt1d3SbwuNLJ93eNPg,P-Lo,P-Lo - Put Me On Somethin' (feat. E-40),8.3M,6 years,"Official video for ""Put Me On Somethin' by P-Lo feat. E-40, off the More Than Anything album. Get 'More Than Anything' here: ...",2024-01-28 01:18:18.118827
